Day,Company-operated,Licensed stored,"CPG, foodservice and other",Total net revenues,Total Operating Expenses,Income from equity investees,Operating income,Total Assets,ROA,Total equity,ROE,ROE change,Operating Margin (%),GDP
30/12/2012,2989.6,350.2,459.8,3799.6,3223.5,54.5,630.6,8490.1,7.43%,5169.3,12.20%,,16.60%,55859
31/03/2013,2807.7,322.1,426.1,3555.9,3064.3,52.5,544.1,8502.8,6.40%,5327.5,10.21%,-1.99%,15.30%,55914
30/06/2013,2986.3,342,413.4,3741.7,3189.9,63.4,615.2,9062.4,6.79%,5747.6,10.70%,0.49%,16.40%,56272
29/09/2013,3009.6,346.3,439.1,3795,3207.1,81,668.9,11516.7,5.81%,4480.2,14.93%,4.23%,17.60%,56642
29/12/2013,3343.8,401.8,494,4239.6,3477.2,51.1,813.5,10255.2,7.93%,4889.5,16.64%,1.71%,19.20%,56345
30/03/2014,3068,356.2,449.6,3873.8,3289.6,59.9,644.1,10097,6.38%,4947.1,13.02%,-3.62%,16.60%,56968
29/06/2014,3290.5,408.1,455.1,4153.7,3458.1,72.9,768.5,10385.3,7.40%,5070.8,15.16%,2.14%,18.50%,57536
28/09/2014,3275.7,422.6,482.5,4180.8,3410.3,84.4,854.9,10752.9,7.95%,5272,16.22%,1.06%,20.40%,57702
28/12/2014,3772.8,483.9,546.5,4803.2,3940.5,52.8,915.5,12351.1,7.41%,6157.8,14.87%,-1.35%,19.10%,58121
29/03/2015,3622.9,421.3,519.3,4563.5,3840.9,54.9,777.5,12190.7,6.38%,6010.7,12.94%,-1.93%,17.00%,58376
28/06/2015,3915,475.2,491,4881.2,4002.9,60.3,938.6,12868.6,7.29%,5858.3,16.02%,3.09%,19.20%,58486
27/09/2015,3886.6,481.4,546.8,4914.8,4027.3,81.9,969.4,12446.1,7.79%,5818,16.66%,0.64%,19.70%,58470
27/12/2015,4210.6,540.6,622.3,5373.5,4379.6,64.1,1058,12943.5,8.17%,5983.4,17.68%,1.02%,19.70%,58704
27/03/2016,3944.2,493.1,555.9,4993.2,4194.6,65.6,864.2,121519.4,0.71%,5096.4,16.96%,-0.73%,17.30%,58787
26/06/2016,4181.6,527.2,529.2,5238,4298.2,82.5,1022.3,13833.2,7.39%,5724,17.86%,0.90%,19.50%,59084
02/10/2016,4507.8,593.2,610.2,5711.2,4589.7,106,1227.5,14329.5,8.57%,5884,20.86%,3.00%,21.50%,59296
01/01/2017,4469.3,602.4,661.2,5732.9,4684.7,84.4,1132.6,14017.3,8.08%,5803.1,19.52%,-1.34%,19.80%,59494
02/04/2017,4195.4,546.7,551.9,5294,4442.7,84.1,935.4,14227.9,6.57%,5611.4,16.67%,-2.85%,17.70%,59736
02/06/2017,4509,588.3,564.2,5661.5,4718.3,101,1044.2,14522.7,7.19%,5849.5,17.85%,1.18%,18.40%,60099
01/10/2017,4477,617.6,603.7,5698.3,4797.7,121.9,1022.5,14356.6,7.12%,5450.1,18.76%,0.91%,17.90%,60674
